,Unnamed: 0,date,high,low,percent_change,stock_close,stock_open,ticker,volume,Company,industry,sector
3652,3652,2018-01-02,74.6861,73.5462,-0.41100000000000003,73.84100000000001,74.126,CL,4352470,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3653,3653,2018-01-03,74.411,73.3644,-0.386,73.556,73.8115,CL,3310214,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3654,3654,2018-01-04,74.6469,73.6838,0.6409999999999999,74.0277,73.7526,CL,2501692,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3655,3655,2018-01-05,74.2783,73.84100000000001,0.11900000000000001,74.1162,74.1948,CL,2852827,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3656,3656,2018-01-08,74.3225,73.7034,0.146,74.2243,73.8606,CL,1689239,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3657,3657,2018-01-09,74.5583,73.9491,0.146,74.3324,74.2734,CL,2518947,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3658,3658,2018-01-10,74.1751,73.2008,-1.084,73.5265,73.9,CL,3138309,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3659,3659,2018-01-11,73.6936,73.0941,-0.361,73.2612,73.6641,CL,2007355,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3660,3660,2018-01-12,73.5364,72.9222,0.094,73.33,73.4676,CL,2338181,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3661,3661,2018-01-16,74.4233,73.3054,1.072,74.1162,73.6445,CL,4580468,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3662,3662,2018-01-17,75.7868,74.3618,1.671,75.3544,74.5092,CL,3455174,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3663,3663,2018-01-18,75.9538,75.0252,-0.065,75.3052,75.3937,CL,4040062,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3664,3664,2018-01-19,76.5631,75.4723,1.135,76.1602,75.6295,CL,4480624,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3665,3665,2018-01-22,76.6047,75.7058,0.363,76.4368,75.933,CL,2824708,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3666,3666,2018-01-23,76.2293,75.4391,-0.62,75.9626,76.0614,CL,3388943,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3667,3667,2018-01-24,76.2046,75.5181,-0.13,75.8638,76.0515,CL,3767873,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3668,3668,2018-01-25,76.417,75.686,0.664,76.3676,76.1305,CL,4237133,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3669,3669,2018-01-26,73.3844,71.5669,-4.851,72.6633,72.9399,CL,13162436,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3670,3670,2018-01-29,73.4931,71.9422,0.313,72.8905,72.5152,CL,8636810,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3671,3671,2018-01-30,73.8438,72.2287,1.193,73.7598,72.8806,CL,6027731,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3672,3672,2018-01-31,73.8586,72.2484,-0.5760000000000001,73.335,73.8586,CL,5458859,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3673,3673,2018-02-01,73.7203,72.288,-1.226,72.4361,73.4239,CL,3900272,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3674,3674,2018-02-02,72.2534,71.4088,-1.227,71.5471,72.1003,CL,5130483,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3675,3675,2018-02-05,72.0904,68.9294,-3.617,68.959,71.4582,CL,6277973,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3676,3676,2018-02-06,70.17399999999999,67.3588,0.8590000000000001,69.5517,68.2577,CL,6903843,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3677,3677,2018-02-07,70.17399999999999,69.1665,-0.341,69.3146,69.5418,CL,4413154,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3678,3678,2018-02-08,69.4332,68.0996,-1.739,68.1095,69.3146,CL,4875204,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3679,3679,2018-02-09,69.206,67.6551,1.175,68.9096,68.6923,CL,6097604,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3680,3680,2018-02-12,70.0061,68.8899,0.616,69.3344,69.1566,CL,3457558,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3681,3681,2018-02-13,69.5912,68.8405,0.157,69.4431,69.0973,CL,3528622,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3682,3682,2018-02-14,69.1764,68.1589,-0.9670000000000001,68.7714,68.9294,CL,3579222,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3683,3683,2018-02-15,70.3518,68.6528,2.298,70.3518,68.9689,CL,3617116,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3684,3684,2018-02-16,70.9643,69.9468,0.337,70.5889,70.0753,CL,4421651,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3685,3685,2018-02-20,70.1049,68.9393,-2.001,69.1764,69.937,CL,3016716,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3686,3686,2018-02-21,69.5912,68.2972,-1.271,68.2972,69.127,CL,2749103,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3687,3687,2018-02-22,68.9294,68.317,0.36200000000000004,68.5442,68.4355,CL,3162126,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3688,3688,2018-02-23,69.4431,68.554,1.311,69.4431,68.9096,CL,2398535,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3689,3689,2018-02-26,70.2629,69.6307,1.095,70.2037,69.9073,CL,2844686,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3690,3690,2018-02-27,70.421,69.0677,-1.618,69.0677,70.3123,CL,3071086,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3691,3691,2018-02-28,69.5023,68.1293,-1.359,68.1293,69.4431,CL,3795986,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3692,3692,2018-03-01,68.6133,67.5563,-0.159,68.0206,68.0305,CL,4997389,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3693,3693,2018-03-02,68.5442,67.665,0.595,68.4256,67.665,CL,3189293,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3694,3694,2018-03-05,69.2949,68.1293,1.155,69.2159,68.149,CL,3096859,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3695,3695,2018-03-06,69.5517,68.3861,-0.614,68.7911,69.2356,CL,2948307,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3696,3696,2018-03-07,69.0479,68.1688,0.057,68.8306,68.2379,CL,3303251,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3697,3697,2018-03-08,70.1839,68.801,1.923,70.1543,68.8998,CL,4134840,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3698,3698,2018-03-09,70.6976,69.8975,0.31,70.3716,70.2827,CL,2928242,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3699,3699,2018-03-12,70.7766,70.0259,-0.225,70.2136,70.4901,CL,2975202,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3700,3700,2018-03-13,70.5297,69.6505,-0.295,70.0061,70.3716,CL,4666470,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3701,3701,2018-03-14,70.1148,68.8603,-1.242,69.1368,70.016,CL,4161400,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3702,3702,2018-03-15,69.3542,68.4553,-0.614,68.7121,69.1764,CL,3039950,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3703,3703,2018-03-16,69.1171,68.5985,0.086,68.7714,68.7812,CL,7050397,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3704,3704,2018-03-19,70.4309,68.9245,0.632,69.206,69.1171,CL,3776870,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3705,3705,2018-03-20,69.6999,68.4849,-0.528,68.8405,69.36399999999999,CL,2403268,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3706,3706,2018-03-21,68.8207,67.744,-1.435,67.8527,68.7911,CL,4184503,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3707,3707,2018-03-22,68.7368,67.7144,0.18899999999999997,67.9811,67.7144,CL,4116192,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
3708,3708,2018-03-23,68.6232,67.4279,-0.639,67.5465,68.0799,CL,3743728,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
