,Unnamed: 0,date,high,low,percent_change,stock_close,stock_open,ticker,volume,Company,industry,sector
4064,4064,2018-01-02,82.448,80.9635,-1.046,81.2858,82.3113,DUK,3167926,Duke Energy Corporation (Holding Company),Utilities - Regulated,Utilities
4065,4065,2018-01-03,81.8328,80.9049,-0.312,81.0319,81.1198,DUK,2690205,Duke Energy Corporation (Holding Company),Utilities - Regulated,Utilities
4066,4066,2018-01-04,81.2858,80.2311,-0.7829999999999999,80.3971,80.8854,DUK,2475760,Duke Energy Corporation (Holding Company),Utilities - Regulated,Utilities
4067,4067,2018-01-05,80.817,79.4497,-0.462,80.02600000000001,80.5827,DUK,3827159,Duke Energy Corporation (Holding Company),Utilities - Regulated,Utilities
4068,4068,2018-01-08,80.3873,79.8111,0.317,80.2799,80.065,DUK,3559950,Duke Energy Corporation (Holding Company),Utilities - Regulated,Utilities
4069,4069,2018-01-09,80.1139,79.0675,-1.168,79.3423,80.1139,DUK,2781742,Duke Energy Corporation (Holding Company),Utilities - Regulated,Utilities
4070,4070,2018-01-10,79.0591,78.0575,-1.391,78.2387,78.8931,DUK,3227185,Duke Energy Corporation (Holding Company),Utilities - Regulated,Utilities
4071,4071,2018-01-11,78.268,77.1546,-1.036,77.4281,77.6527,DUK,4087206,Duke Energy Corporation (Holding Company),Utilities - Regulated,Utilities
4072,4072,2018-01-12,77.7474,76.7152,-0.479,77.057,77.1546,DUK,3211356,Duke Energy Corporation (Holding Company),Utilities - Regulated,Utilities
4073,4073,2018-01-16,77.4183,76.3831,-0.608,76.5882,77.2425,DUK,4375288,Duke Energy Corporation (Holding Company),Utilities - Regulated,Utilities
4074,4074,2018-01-17,76.8616,75.8069,-0.013000000000000001,76.5784,76.5296,DUK,4125186,Duke Energy Corporation (Holding Company),Utilities - Regulated,Utilities
4075,4075,2018-01-18,76.803,75.2502,-1.365,75.5334,76.803,DUK,4757589,Duke Energy Corporation (Holding Company),Utilities - Regulated,Utilities
4076,4076,2018-01-19,76.0022,74.8498,-0.672,75.0256,75.6604,DUK,4536693,Duke Energy Corporation (Holding Company),Utilities - Regulated,Utilities
4077,4077,2018-01-22,75.8362,75.0549,0.16899999999999998,75.1525,75.3576,DUK,3720141,Duke Energy Corporation (Holding Company),Utilities - Regulated,Utilities
4078,4078,2018-01-23,76.6175,75.4358,0.988,75.8948,75.9338,DUK,4033929,Duke Energy Corporation (Holding Company),Utilities - Regulated,Utilities
4079,4079,2018-01-24,75.918,75.4065,-0.605,75.4358,75.885,DUK,3601656,Duke Energy Corporation (Holding Company),Utilities - Regulated,Utilities
4080,4080,2018-01-25,77.3695,75.3967,2.149,77.057,75.426,DUK,4842928,Duke Energy Corporation (Holding Company),Utilities - Regulated,Utilities
4081,4081,2018-01-26,77.1937,76.2366,-0.08900000000000001,76.9886,77.0863,DUK,3944543,Duke Energy Corporation (Holding Company),Utilities - Regulated,Utilities
4082,4082,2018-01-29,76.7347,75.3674,-1.954,75.4846,76.7152,DUK,4901333,Duke Energy Corporation (Holding Company),Utilities - Regulated,Utilities
4083,4083,2018-01-30,76.0901,75.1721,0.479,75.8459,75.29899999999999,DUK,3969202,Duke Energy Corporation (Holding Company),Utilities - Regulated,Utilities
4084,4084,2018-01-31,76.7445,75.4455,1.082,76.6663,75.9631,DUK,4007042,Duke Energy Corporation (Holding Company),Utilities - Regulated,Utilities
4085,4085,2018-02-01,76.8128,74.8791,-2.115,75.0451,76.4905,DUK,4328646,Duke Energy Corporation (Holding Company),Utilities - Regulated,Utilities
4086,4086,2018-02-02,75.9143,74.6447,-0.40299999999999997,74.7423,75.0256,DUK,4252429,Duke Energy Corporation (Holding Company),Utilities - Regulated,Utilities
4087,4087,2018-02-05,75.7776,73.961,-0.941,74.0392,74.8595,DUK,5852083,Duke Energy Corporation (Holding Company),Utilities - Regulated,Utilities
4088,4088,2018-02-06,73.4922,71.2264,-1.7409999999999999,72.75,73.3946,DUK,7810777,Duke Energy Corporation (Holding Company),Utilities - Regulated,Utilities
4089,4089,2018-02-07,73.795,72.4472,-0.121,72.6621,72.7207,DUK,4840376,Duke Energy Corporation (Holding Company),Utilities - Regulated,Utilities
4090,4090,2018-02-08,74.0978,72.0761,-0.10800000000000001,72.584,72.3593,DUK,6160098,Duke Energy Corporation (Holding Company),Utilities - Regulated,Utilities
4091,4091,2018-02-09,74.9279,72.1347,2.395,74.3224,72.584,DUK,6312295,Duke Energy Corporation (Holding Company),Utilities - Regulated,Utilities
4092,4092,2018-02-12,75.4455,73.8927,0.9329999999999999,75.0158,74.3419,DUK,4373075,Duke Energy Corporation (Holding Company),Utilities - Regulated,Utilities
4093,4093,2018-02-13,75.4944,74.0489,0.35200000000000004,75.2795,74.7521,DUK,3808020,Duke Energy Corporation (Holding Company),Utilities - Regulated,Utilities
4094,4094,2018-02-14,74.8693,73.6876,-2.076,73.7169,74.8302,DUK,4562984,Duke Energy Corporation (Holding Company),Utilities - Regulated,Utilities
4095,4095,2018-02-15,75.3179,73.7861,2.158,75.308,73.8947,DUK,3923792,Duke Energy Corporation (Holding Company),Utilities - Regulated,Utilities
4096,4096,2018-02-16,75.9899,74.883,0.6559999999999999,75.8021,75.1795,DUK,3796604,Duke Energy Corporation (Holding Company),Utilities - Regulated,Utilities
4097,4097,2018-02-20,75.7231,73.9442,-1.317,74.804,75.3179,DUK,4016959,Duke Energy Corporation (Holding Company),Utilities - Regulated,Utilities
4098,4098,2018-02-21,75.6045,74.4185,-0.47600000000000003,74.4482,74.6953,DUK,4242824,Duke Energy Corporation (Holding Company),Utilities - Regulated,Utilities
4099,4099,2018-02-22,75.3574,74.2901,0.27899999999999997,74.6557,74.5964,DUK,3103913,Duke Energy Corporation (Holding Company),Utilities - Regulated,Utilities
4100,4100,2018-02-23,76.3951,74.4976,2.224,76.3161,74.5668,DUK,2839067,Duke Energy Corporation (Holding Company),Utilities - Regulated,Utilities
4101,4101,2018-02-26,78.6979,76.741,0.9059999999999999,77.0079,78.1839,DUK,5253815,Duke Energy Corporation (Holding Company),Utilities - Regulated,Utilities
4102,4102,2018-02-27,77.3735,75.4365,-2.041,75.4365,76.9683,DUK,4088571,Duke Energy Corporation (Holding Company),Utilities - Regulated,Utilities
4103,4103,2018-02-28,75.6638,74.4284,-1.297,74.4581,75.1301,DUK,3321658,Duke Energy Corporation (Holding Company),Utilities - Regulated,Utilities
4104,4104,2018-03-01,75.9207,74.2802,0.292,74.6755,74.468,DUK,3209749,Duke Energy Corporation (Holding Company),Utilities - Regulated,Utilities
4105,4105,2018-03-02,75.4068,73.7067,-0.278,74.468,74.5767,DUK,3631350,Duke Energy Corporation (Holding Company),Utilities - Regulated,Utilities
4106,4106,2018-03-05,76.7608,73.9936,2.84,76.5829,74.3395,DUK,3840629,Duke Energy Corporation (Holding Company),Utilities - Regulated,Utilities
4107,4107,2018-03-06,76.4841,74.7447,-2.103,74.972,76.3259,DUK,3655394,Duke Energy Corporation (Holding Company),Utilities - Regulated,Utilities
