,Unnamed: 0,date,high,low,percent_change,stock_close,stock_open,ticker,volume,Company,industry,sector
1270,1270,2018-01-02,294.0642,292.4859,0.654,293.9156,292.8364,BA,2978918,The Boeing Company,Aerospace & Defense,Industrials
1271,1271,2018-01-03,295.5593,292.5591,0.32299999999999995,294.8662,293.0245,BA,3211195,The Boeing Company,Aerospace & Defense,Industrials
1272,1272,2018-01-04,295.4801,292.5591,-0.379,293.7473,295.0048,BA,4171720,The Boeing Company,Aerospace & Defense,Industrials
1273,1273,2018-01-05,305.8469,293.7968,4.102,305.7974,293.8463,BA,6177731,The Boeing Company,Aerospace & Defense,Industrials
1274,1274,2018-01-08,307.7975,302.7379,0.424,307.0945,305.6192,BA,4124862,The Boeing Company,Aerospace & Defense,Industrials
1275,1275,2018-01-09,316.7584,307.4312,2.67,315.293,307.5302,BA,5641298,The Boeing Company,Aerospace & Defense,Industrials
1276,1276,2018-01-10,318.9763,312.3918,0.575,317.1049,314.3622,BA,4479288,The Boeing Company,Aerospace & Defense,Industrials
1277,1277,2018-01-11,325.1647,318.0258,2.454,324.8875,318.9565,BA,4635344,The Boeing Company,Aerospace & Defense,Industrials
1278,1278,2018-01-12,333.5612,327.1252,2.4659999999999997,332.8978,327.1252,BA,6559284,The Boeing Company,Aerospace & Defense,Industrials
1279,1279,2018-01-16,344.3043,328.0659,-0.312,331.8581,336.5514,BA,12305475,The Boeing Company,Aerospace & Defense,Industrials
1280,1280,2018-01-17,348.76,333.0958,4.729,347.55199999999996,334.4028,BA,9699917,The Boeing Company,Aerospace & Defense,Industrials
1281,1281,2018-01-18,347.3738,335.8088,-3.091,336.8089,347.245,BA,9458634,The Boeing Company,Aerospace & Defense,Industrials
1282,1282,2018-01-19,340.611,332.4423,-0.7140000000000001,334.4028,338.30400000000003,BA,7264401,The Boeing Company,Aerospace & Defense,Industrials
1283,1283,2018-01-22,338.01800000000003,328.7689,0.08,334.6702,331.9869,BA,6792870,The Boeing Company,Aerospace & Defense,Industrials
1284,1284,2018-01-23,335.6009,331.5116,-0.713,332.2839,335.0068,BA,4537784,The Boeing Company,Aerospace & Defense,Industrials
1285,1285,2018-01-24,335.6504,330.8482,-0.268,331.3928,332.8879,BA,4205351,The Boeing Company,Aerospace & Defense,Industrials
1286,1286,2018-01-25,340.2298,331.9968,2.516,339.7298,332.8978,BA,4747478,The Boeing Company,Aerospace & Defense,Industrials
1287,1287,2018-01-26,342.5715,337.8881,0.032,339.8387,340.9378,BA,5236260,The Boeing Company,Aerospace & Defense,Industrials
1288,1288,2018-01-29,341.0863,336.7495,-0.6990000000000001,337.4624,337.8683,BA,3324878,The Boeing Company,Aerospace & Defense,Industrials
1289,1289,2018-01-30,336.6306,330.86800000000005,-0.9129999999999999,334.38300000000004,335.8286,BA,4983055,The Boeing Company,Aerospace & Defense,Industrials
1290,1290,2018-01-31,357.4139,348.156,4.933,350.8789,356.9485,BA,11409626,The Boeing Company,Aerospace & Defense,Industrials
1291,1291,2018-02-01,357.8891,348.5718,0.725,353.4236,349.4729,BA,6067581,The Boeing Company,Aerospace & Defense,Industrials
1292,1292,2018-02-02,351.6997,345.2647,-2.25,345.4727,350.5125,BA,5486074,The Boeing Company,Aerospace & Defense,Industrials
1293,1293,2018-02-05,346.5519,314.2632,-5.7410000000000005,325.64,339.2941,BA,10511290,The Boeing Company,Aerospace & Defense,Industrials
1294,1294,2018-02-06,338.30400000000003,314.5206,3.658,337.5515,316.8475,BA,11935140,The Boeing Company,Aerospace & Defense,Industrials
1295,1295,2018-02-07,350.1066,336.5217,2.115,344.6905,337.1653,BA,7946670,The Boeing Company,Aerospace & Defense,Industrials
1296,1296,2018-02-08,347.2676,327.7649,-4.835,328.0236,346.2725,BA,8295905,The Boeing Company,Aerospace & Defense,Industrials
1297,1297,2018-02-09,336.1331,317.6652,0.9620000000000001,331.1778,331.8943,BA,8832974,The Boeing Company,Aerospace & Defense,Industrials
1298,1298,2018-02-12,346.0238,333.4664,3.2960000000000003,342.0934,334.8993,BA,6885010,The Boeing Company,Aerospace & Defense,Industrials
1299,1299,2018-02-13,346.153,338.6008,-0.18600000000000003,341.4566,338.76,BA,4030233,The Boeing Company,Aerospace & Defense,Industrials
1300,1300,2018-02-14,345.7054,339.4764,0.49200000000000005,343.1382,339.6456,BA,4340180,The Boeing Company,Aerospace & Defense,Industrials
1301,1301,2018-02-15,354.7801,346.3223,3.367,354.6905,346.7402,BA,5827488,The Boeing Company,Aerospace & Defense,Industrials
1302,1302,2018-02-16,357.7154,351.7553,-0.39799999999999996,353.2776,354.8199,BA,5211615,The Boeing Company,Aerospace & Defense,Industrials
1303,1303,2018-02-20,356.0139,349.6556,-0.47600000000000003,351.596,350.2527,BA,4303395,The Boeing Company,Aerospace & Defense,Industrials
1304,1304,2018-02-21,359.0189,350.0039,-0.27699999999999997,350.6208,350.8099,BA,5258555,The Boeing Company,Aerospace & Defense,Industrials
1305,1305,2018-02-22,356.2925,350.8895,1.0070000000000001,354.1532,352.8895,BA,3414299,The Boeing Company,Aerospace & Defense,Industrials
1306,1306,2018-02-23,356.9891,351.3142,0.20800000000000002,354.8895,356.402,BA,3355378,The Boeing Company,Aerospace & Defense,Industrials
1307,1307,2018-02-26,362.2429,356.4341,1.912,361.6757,357.7154,BA,4148132,The Boeing Company,Aerospace & Defense,Industrials
