Symbol,Name,Twitter_handle,industry,sector
T,AT&T Inc      ,@ATT,Communication Services,Communication Services
TGT,Target Corp.      ,@Target,Retail - Defensive,Consumer Defensive
TXN,Texas Instruments      ,@TXInstruments,Semiconductors,Technology
UNH,UnitedHealth Group      ,@UnitedHealthGrp,Health Care Plans,Healthcare
UNP,Union Pacific Corporation     ,@UnionPacific,Transportation & Logistics,Industrials
UPS,United Parcel Service     ,@UPS,Transportation & Logistics,Industrials
USB,US Bancorp      ,@US Bancorp      ,Banks,Financial Services
UTX,United Technologies      ,@UTC,Aerospace & Defense,Industrials
V,Visa Inc.      ,@VisaNews,Credit Services,Financial Services
VZ,Verizon Communications      ,@verizon,Communication Services,Communication Services
WBA,Walgreens Boots Alliance     ,@Walgreens,Retail - Defensive,Consumer Defensive
WFC,Wells Fargo      ,@WellsFargo,Banks,Financial Services
WMT,Wal-Mart       ,@Walmart,Retail - Defensive,Consumer Defensive
XOM,Exxon Mobil Corp     ,@exxonmobil,Oil & Gas - Integrated,Energy
